sequenceId,ParameterKey,ParameterValue
1_21D,repmark,50.0
1_21D,presmark,76.57142857
1_21D,teammark,65.314285714
1_21D,airtime_evenness,-10.437222893404636
1_21D,psy_safe,4.512857142857143
1_21E,expgroup,Control
1_21E,repmark,59.0
1_21E,presmark,75.42857143
1_21E,teammark,74.085714286
1_21E,airtime_evenness,-10.441392132763378
1_21E,psy_safe,4.667142857142858
1_21F,expgroup,Control
1_21F,repmark,47.4
1_21F,presmark,71.71428571
1_21F,teammark,61.742857142000005
1_21F,airtime_evenness,-11.438325893606303
1_21F,psy_safe,4.4628571428571435
1_21G,expgroup,Control
1_21G,repmark,49.4
1_21G,presmark,60.57142857
1_21G,teammark,61.514285713999996
1_21G,airtime_evenness,-8.09859928408012
1_21G,psy_safe,4.275714285714287
1_22A,expgroup,Reflection
1_22A,repmark,40.4
1_22A,presmark,81.11111111000001
1_22A,teammark,56.622222222
1_22A,airtime_evenness,-11.926749999025155
1_22A,psy_safe,4.557142857142858
1_22B,expgroup,Reflection
1_22B,repmark,56.0
1_22B,presmark,53.78378378
1_22B,teammark,66.756756756
1_22B,airtime_evenness,-12.517411675790846
1_22B,psy_safe,4.274285714285715
1_22C,expgroup,Reflection
1_22C,repmark,49.4
1_22C,presmark,69.45945946
1_22C,teammark,63.291891892
1_22C,airtime_evenness,-10.251064121847854
1_22C,psy_safe,4.182857142857143
1_22D,expgroup,Reflection
1_22D,repmark,56.0
1_22D,presmark,72.43243243
1_22D,teammark,70.486486486
1_22D,airtime_evenness,-8.696763192651575
1_22D,psy_safe,4.502857142857143
1_22E,expgroup,Reflection
1_22E,repmark,56.6
1_22E,presmark,56.21621622
1_22E,teammark,67.843243244
1_22E,airtime_evenness,-8.255822954204813
1_22E,psy_safe,4.251428571428572
1_22F,expgroup,Reflection
1_22F,repmark,48.2
1_22F,presmark,58.918918919999996
1_22F,teammark,59.983783784
1_22F,airtime_evenness,-7.281697695777697
1_22F,psy_safe,4.057142857142857
1_22G,expgroup,Reflection
1_22G,repmark,50.6
1_22G,presmark,53.78378378
1_22G,teammark,61.356756756
1_22G,airtime_evenness,-5.332402794546786
1_22G,psy_safe,4.478571428571429
1_23B,expgroup,Feedback
1_23B,repmark,55.4
1_23B,presmark,67.14285714
1_23B,teammark,68.82857142800002
1_23B,airtime_evenness,-9.914006193533414
1_23B,psy_safe,4.614285714285715
1_23C,expgroup,Feedback
1_23C,repmark,64.4
1_23C,presmark,83.61111111
1_23C,teammark,81.122222222
1_23C,airtime_evenness,-7.742558571116421
1_23C,psy_safe,4.445714285714286
1_23D,expgroup,Feedback
1_23D,repmark,43.4
1_23D,presmark,68.10810811
1_23D,teammark,57.021621622
1_23D,airtime_evenness,-12.6401068539644
1_23D,psy_safe,4.145714285714286
1_23E,expgroup,Feedback
1_23E,repmark,50.6
1_23E,presmark,75.27777778
1_23E,teammark,65.655555556
1_23E,airtime_evenness,-13.572621777493667
1_23E,psy_safe,4.279999999999999
1_23F,expgroup,Feedback
1_23F,repmark,45.2
1_23F,presmark,54.44444444
1_23F,teammark,56.088888888
1_23F,airtime_evenness,-16.349769293457637
1_23F,psy_safe,3.8514285714285714
1_23G,expgroup,Feedback
1_23G,repmark,54.2
1_23G,presmark,57.777777779999994
1_23G,teammark,65.755555556
1_23G,airtime_evenness,-6.958620796397853
1_23G,psy_safe,4.542857142857143
1_24A,expgroup,Control
1_24A,repmark,0.0
1_24A,presmark,58.27586207
1_24A,teammark,11.655172414
1_24A,airtime_evenness,-16.210338785026167
1_24A,psy_safe,4.321428571428571
1_24B,expgroup,Control
1_24B,repmark,48.800000000000004
1_24B,presmark,80.0
1_24B,teammark,64.8
1_24B,airtime_evenness,-16.10958995649494
1_24B,psy_safe,4.468571428571429
1_24C,expgroup,Control
1_24C,repmark,50.6
1_24C,presmark,65.51724138
1_24C,teammark,63.703448276
1_24C,airtime_evenness,-16.24571855729817
1_24C,psy_safe,3.9285714285714284
1_24D,expgroup,Control
1_24D,repmark,55.4
1_24D,presmark,83.44827586
1_24D,teammark,72.089655172
1_24D,airtime_evenness,-8.117755059616037
1_24D,psy_safe,4.5371428571428565
1_24E,expgroup,Control
1_24E,repmark,50.0
1_24E,presmark,66.55172414
1_24E,teammark,63.310344828
1_24E,airtime_evenness,-15.573628663160536
1_24E,psy_safe,4.662857142857144
1_24G,expgroup,Control
1_24G,repmark,60.2
1_24G,presmark,61.61290323000001
1_24G,teammark,72.52258064600001
1_24G,airtime_evenness,-18.520290229705726
1_24G,psy_safe,4.405714285714287
1_25A,expgroup,Reflection
1_25A,repmark,48.2
1_25A,presmark,57.29729729999999
1_25A,teammark,59.65945946000001
1_25A,airtime_evenness,-13.017715812247562
1_25A,psy_safe,4.455714285714285
1_25B,expgroup,Reflection
1_25B,repmark,45.800000000000004
1_25B,presmark,58.88888889
1_25B,teammark,57.57777777799999
1_25B,airtime_evenness,-11.046456528625804
1_25B,psy_safe,4.314285714285714
1_25C,expgroup,Reflection
1_25C,repmark,42.2
1_25C,presmark,56.48648648999999
1_25C,teammark,53.497297298000014
1_25C,airtime_evenness,-9.932663425215543
1_25C,psy_safe,4.427142857142857
1_25D,expgroup,Reflection
1_25D,repmark,48.8
1_25D,presmark,81.89189189
1_25D,teammark,65.17837837799999
1_25D,airtime_evenness,-14.99334346898272
1_25D,psy_safe,4.565714285714286
1_25F,expgroup,Reflection
1_25F,repmark,44.0
1_25F,presmark,64.32432432
1_25F,teammark,56.86486486399999
1_25F,airtime_evenness,-14.931810610619731
1_25F,psy_safe,4.2
1_25G,expgroup,Reflection
1_25G,repmark,48.8
1_25G,presmark,70.81081081
1_25G,teammark,62.962162162000006
1_25G,airtime_evenness,-12.067744316835526
1_25G,psy_safe,4.102857142857142
1_26A,expgroup,Feedback
1_26A,repmark,53.0
1_26A,presmark,52.57142857
1_26A,teammark,63.514285714
1_26A,airtime_evenness,-12.56808424892789
1_26A,psy_safe,4.237500000000001
1_26B,expgroup,Feedback
1_26B,repmark,57.800000000000004
1_26B,presmark,73.93939394
1_26B,teammark,72.587878788
1_26B,airtime_evenness,-14.632786051654845
1_26B,psy_safe,3.8571428571428577
1_26C,expgroup,Feedback
1_26C,repmark,53.0
1_26C,presmark,76.57142857
1_26C,teammark,68.314285714
1_26C,airtime_evenness,-12.346770255248478
1_26C,psy_safe,4.430357142857144
1_26D,expgroup,Feedback
1_26D,repmark,55.4
1_26D,presmark,75.0
1_26D,teammark,70.4
1_26D,airtime_evenness,-10.556463876528742
1_26D,psy_safe,4.185714285714285
1_26E,expgroup,Feedback
1_26E,repmark,45.8
1_26E,presmark,62.35294118
1_26E,teammark,58.270588235999995
1_26E,airtime_evenness,-9.173673088670812
1_26E,psy_safe,4.521428571428571
1_26F,expgroup,Feedback
1_26F,repmark,59.0
1_26F,presmark,74.41176471
1_26F,teammark,73.882352942
1_26F,airtime_evenness,-8.599502434516726
1_26F,psy_safe,4.271428571428572
1_26G,expgroup,Feedback
1_26G,repmark,47.6
1_26G,presmark,64.28571429
1_26G,teammark,60.457142858000005
1_26G,airtime_evenness,-16.85740583526444
1_26G,psy_safe,3.7857142857142856
1_27A,expgroup,Control
1_27A,repmark,64.4
1_27A,presmark,58.857142859999996
1_27A,teammark,76.17142857200001
1_27A,airtime_evenness,-16.18522103266744
1_27A,psy_safe,3.977619047619048
1_27B,expgroup,Control
1_27B,repmark,54.2
1_27B,presmark,70.0
1_27B,teammark,68.2
1_27B,airtime_evenness,-11.910784680168437
1_27B,psy_safe,4.857142857142857
1_27C,expgroup,Control
1_27C,repmark,55.4
1_27C,presmark,82.57142857
1_27C,teammark,71.914285714
1_27C,airtime_evenness,-18.64717377834242
1_27C,psy_safe,4.572857142857143
1_27D,expgroup,Control
1_27D,repmark,54.8
1_27D,presmark,77.71428571
1_27D,teammark,70.342857142
1_27D,airtime_evenness,-10.989295668798729
1_27D,psy_safe,4.8
1_27E,expgroup,Control
1_27E,repmark,49.4
1_27E,presmark,70.0
1_27E,teammark,63.4
1_27E,airtime_evenness,-7.922782479957795
1_27E,psy_safe,4.262857142857143
1_27F,expgroup,Control
1_27F,repmark,57.8
1_27F,presmark,74.28571429
1_27F,teammark,72.657142858
1_27F,airtime_evenness,-10.935768949122881
1_27F,psy_safe,4.33142857142857
1_27G,expgroup,Control
1_27G,repmark,51.800000000000004
1_27G,presmark,51.38888889
1_27G,teammark,62.07777777799999
1_27G,airtime_evenness,-9.820790996133162
1_27G,psy_safe,4.1085714285714285
1_3A,expgroup,Reflection
1_3A,repmark,29.0
1_3A,presmark,70.57142856999998
